text,label
i 'd give real money to see the perpetrators of chicago torn apart by dingoes,neg
"a breezy romantic comedy that has the punch of a good sitcom , while offering exceptionally well detailed characters",pos
rice is too pedestrian a filmmaker to bring any edge or personality to the rising place that would set it apart from other deep south stories,neg
"too silly to be frightening , too stolid to be funny , it projects the same lazy affability as its nominal star , david arquette",neg
"an exhilarating futuristic thriller noir , minority report twists the best of technology around a gripping story , delivering a riveting , pulse intensifying escapist adventure of the first order",pos
"the movie wavers between hallmark card sentimentality and goofy , life affirming moments straight out of a cellular phone commercial",neg
"the mystery of enigma is how a rich historical subject , combined with so much first rate talent could have yielded such a flat , plodding picture",neg
stiff and schmaltzy and clumsily directed,neg
bean drops the ball too many times hoping the nifty premise will create enough interest to make up for an unfocused screenplay,neg
a sophomoric exploration of 'life problems' most people solved long ago or at least got tired of hearing people kvetch about,neg
"those who managed to avoid the deconstructionist theorizing of french philosopher jacques derrida in college can now take an 85 minute brush up course with the documentary derrida or , you can do something fun tonight",neg
"ice age treads predictably along familiar territory , making it a passable family film that wo n't win many fans over the age of 12",neg
returning director rob minkoff and screenwriter bruce joel rubin have done a fine job of updating white 's dry wit to a new age,pos
just because a walk to remember is shrewd enough to activate girlish tear ducts does n't mean it 's good enough for our girls,neg
the ring just left me cold and wet like i was out in the seattle drizzle without rainwear,neg
witless but watchable,pos
this formulaic chiller will do little to boost stallone 's career,neg
"much like its easily dismissive take on the upscale lifestyle , there is n't much there here",neg
"while it 's all quite tasteful to look at , the attention process tends to do a little fleeing of its own",neg
a very capable nailbiter,pos
"even when foreign directors borrow stuff from hollywood , they invariably shake up the formula and make it more interesting",pos
"the secrets of time travel will have been discovered , indulged in and rejected as boring before i see this piece of crap again",neg
"quitting delivers a sucker punch , and its impact is all the greater beause director zhang 's last film , the cuddly shower , was a non threatening multi character piece centered around a public bath house",pos
going to the website may be just as fun \( and scary \) as going to the film,neg
i 'd watch these two together again in a new york minute,pos
"this cuddly sequel to the 1999 hit is a little more visually polished , a little funnier , and a little more madcap",pos
"bluto blutarsky , we miss you",neg
"yet another iteration of what 's become one of the movies' creepiest conventions , in which the developmentally disabled are portrayed with almost supernatural powers to humble , teach and ultimately redeem their mentally superior friends , family",neg
"the film is a fierce dance of destruction its flame like , roiling black and white inspires trembling and gratitude",pos
weiss and speck never make a convincing case for the relevance of these two 20th century footnotes,neg
it 's not as awful as some of the recent hollywood trip tripe but it 's far from a groundbreaking endeavor,neg
"though excessively tiresome , the uncertainty principle , as verbally pretentious as the title may be , has its handful of redeeming features , as long as you discount its ability to bore",neg
an unclassifiably awful study in self and audience abuse,neg
the young stars are too cute the story and ensuing complications are too manipulative the message is too blatant the resolutions are too convenient,neg
an ingenious and often harrowing look at damaged people and how families can offer either despair or consolation,pos
"it sounds sick and twisted , but the miracle of shainberg 's film is that it truly is romance",pos
"like mike is n't going to make box office money that makes michael jordan jealous , but it has some cute moments , funny scenes , and hits the target audience \( young bow wow fans \) with nothing but net",pos
haneke challenges us to confront the reality of sexual aberration,pos
"a frankenstein mishmash that careens from dark satire to cartoonish slapstick , bartleby performs neither one very well",neg
"the adventure does n't contain half the excitement of balto , or quarter the fun of toy story 2",neg
would benigni 's italian pinocchio have been any easier to sit through than this hastily dubbed disaster \?,neg
the 50 something lovebirds are too immature and unappealing to care about,neg
"it 's got the brawn , but not the brains",neg
"the bourne identity should n't be half as entertaining as it is , but director doug liman and his colleagues have managed to pack it with enough action to satisfy the boom bam crowd without a huge sacrifice of character and mood",pos
solondz is so intent on hammering home his message that he forgets to make it entertaining,pos
"as the two leads , lathan and diggs are charming and have chemistry both as friends and lovers",pos
